Name,Year,Month,Total,Average,Maximum,Longitude,Latitude,Elevation,Month_help
Altdorf,1970,January,9,1.09677419354839,11,8.62188326940885,46.8870781335011,438,7
Altdorf,1970,February,49,5.42857142857143,27,8.62188326940885,46.8870781335011,438,8
Altdorf,1970,March,30,5,21,8.62188326940885,46.8870781335011,438,9
Altdorf,1970,April,14,0.6,5,8.62188326940885,46.8870781335011,438,10
Altdorf,1970,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1970,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1970,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1970,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1970,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1970,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1970,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1970,December,22,1.48387096774194,16,8.62188326940885,46.8870781335011,438,6
Altdorf,1971,January,0,6.38709677419355,19,8.62188326940885,46.8870781335011,438,7
Altdorf,1971,February,20,3.25,12,8.62188326940885,46.8870781335011,438,8
Altdorf,1971,March,4,0.129032258064516,4,8.62188326940885,46.8870781335011,438,9
Altdorf,1971,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1971,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1971,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1971,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1971,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1971,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1971,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1971,November,7,0.3,2,8.62188326940885,46.8870781335011,438,5
Altdorf,1971,December,28,6.93548387096774,25,8.62188326940885,46.8870781335011,438,6
Altdorf,1972,January,6,0.225806451612903,4,8.62188326940885,46.8870781335011,438,7
Altdorf,1972,February,0,0.0689655172413793,2,8.62188326940885,46.8870781335011,438,8
Altdorf,1972,March,0,0,0,8.62188326940885,46.8870781335011,438,9
Altdorf,1972,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1972,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1972,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1972,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1972,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1972,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1972,October,5,0.161290322580645,5,8.62188326940885,46.8870781335011,438,4
Altdorf,1972,November,2,0.0666666666666667,2,8.62188326940885,46.8870781335011,438,5
Altdorf,1972,December,0,0,0,8.62188326940885,46.8870781335011,438,6
Altdorf,1973,January,12,0.870967741935484,12,8.62188326940885,46.8870781335011,438,7
Altdorf,1973,February,25,1.96428571428571,12,8.62188326940885,46.8870781335011,438,8
Altdorf,1973,March,2,0.387096774193548,4,8.62188326940885,46.8870781335011,438,9
Altdorf,1973,April,14,0.6,7,8.62188326940885,46.8870781335011,438,10
Altdorf,1973,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1973,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1973,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1973,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1973,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1973,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1973,November,21,1.23333333333333,16,8.62188326940885,46.8870781335011,438,5
Altdorf,1973,December,7,3.58064516129032,18,8.62188326940885,46.8870781335011,438,6
Altdorf,1974,January,10,1.29032258064516,10,8.62188326940885,46.8870781335011,438,7
Altdorf,1974,February,11,0.464285714285714,4,8.62188326940885,46.8870781335011,438,8
Altdorf,1974,March,3,0.0967741935483871,2,8.62188326940885,46.8870781335011,438,9
Altdorf,1974,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1974,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1974,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1974,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1974,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1974,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1974,October,6,0.032258064516129,1,8.62188326940885,46.8870781335011,438,4
Altdorf,1974,November,1,0.2,5,8.62188326940885,46.8870781335011,438,5
Altdorf,1974,December,7,0.32258064516129,5,8.62188326940885,46.8870781335011,438,6
Altdorf,1975,January,0,0,0,8.62188326940885,46.8870781335011,438,7
Altdorf,1975,February,0,0,0,8.62188326940885,46.8870781335011,438,8
Altdorf,1975,March,22,1.38709677419355,17,8.62188326940885,46.8870781335011,438,9
Altdorf,1975,April,37,2.1,25,8.62188326940885,46.8870781335011,438,10
Altdorf,1975,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1975,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1975,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1975,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1975,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1975,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1975,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1975,December,4,1.70967741935484,4,8.62188326940885,46.8870781335011,438,6
Altdorf,1976,January,19,2.16129032258065,10,8.62188326940885,46.8870781335011,438,7
Altdorf,1976,February,7,1.24137931034483,7,8.62188326940885,46.8870781335011,438,8
Altdorf,1976,March,0,0.258064516129032,4,8.62188326940885,46.8870781335011,438,9
Altdorf,1976,April,4,0.133333333333333,3,8.62188326940885,46.8870781335011,438,10
Altdorf,1976,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1976,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1976,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1976,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1976,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1976,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1976,November,2,0.0666666666666667,2,8.62188326940885,46.8870781335011,438,5
Altdorf,1976,December,30,4.93548387096774,28,8.62188326940885,46.8870781335011,438,6
Altdorf,1977,January,29,4.96774193548387,22,8.62188326940885,46.8870781335011,438,7
Altdorf,1977,February,0,0,0,8.62188326940885,46.8870781335011,438,8
Altdorf,1977,March,2,0.0645161290322581,2,8.62188326940885,46.8870781335011,438,9
Altdorf,1977,April,11,0.366666666666667,4,8.62188326940885,46.8870781335011,438,10
Altdorf,1977,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1977,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1977,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1977,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1977,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1977,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1977,November,4,0.5,4,8.62188326940885,46.8870781335011,438,5
Altdorf,1977,December,3,0.32258064516129,2,8.62188326940885,46.8870781335011,438,6
Altdorf,1978,January,29,2.06451612903226,15,8.62188326940885,46.8870781335011,438,7
Altdorf,1978,February,20,7.60714285714286,22,8.62188326940885,46.8870781335011,438,8
Altdorf,1978,March,5,0.161290322580645,2,8.62188326940885,46.8870781335011,438,9
Altdorf,1978,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1978,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1978,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1978,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1978,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1978,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1978,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1978,November,7,0.3,7,8.62188326940885,46.8870781335011,438,5
Altdorf,1978,December,3,0.354838709677419,3,8.62188326940885,46.8870781335011,438,6
Altdorf,1979,January,27,3.96774193548387,12,8.62188326940885,46.8870781335011,438,7
Altdorf,1979,February,4,0.142857142857143,2,8.62188326940885,46.8870781335011,438,8
Altdorf,1979,March,1,0.032258064516129,1,8.62188326940885,46.8870781335011,438,9
Altdorf,1979,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1979,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1979,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1979,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1979,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1979,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1979,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1979,November,1,0.0333333333333333,1,8.62188326940885,46.8870781335011,438,5
Altdorf,1979,December,24,0.967741935483871,11,8.62188326940885,46.8870781335011,438,6
Altdorf,1980,January,38,12.3225806451613,28,8.62188326940885,46.8870781335011,438,7
Altdorf,1980,February,0,0,0,8.62188326940885,46.8870781335011,438,8
